date,open,high,low,close,adj_close,volume,ticker
2018-01-01,,,,,,,AAPL
2018-01-02,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.341888427734375,102223600,AAPL
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.334869384765625,118071600,AAPL
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.5222053527832,89738400,AAPL
2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,40.98356628417969,94640000,AAPL
2018-01-06,,,,,,,AAPL
2018-01-07,,,,,,,AAPL
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,40.83135986328125,82271200,AAPL
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,40.82666778564453,86336000,AAPL
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,40.81727981567383,95839600,AAPL
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.04914474487305,74670800,AAPL
2018-01-12,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,41.473026275634766,101672400,AAPL
2018-01-13,,,,,,,AAPL
2018-01-14,,,,,,,AAPL
2018-01-15,,,,,,,AAPL
2018-01-16,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,41.262264251708984,118263600,AAPL
2018-01-17,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,41.943763732910156,137547200,AAPL
2018-01-18,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,41.981239318847656,124773600,AAPL
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,41.79387283325195,129700400,AAPL
2018-01-20,,,,,,,AAPL
2018-01-21,,,,,,,AAPL
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,41.45196533203125,108434400,AAPL
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.461326599121094,130756400,AAPL
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,40.800907135009766,204420400,AAPL
2018-01-25,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,40.07257080078125,166116000,AAPL
2018-01-26,43.0,43.0,42.51499938964844,42.877498626708984,40.16624450683594,156572000,AAPL
2018-01-27,,,,,,,AAPL
2018-01-28,,,,,,,AAPL
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.334861755371094,202561600,AAPL
2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.10301971435547,184192800,AAPL
2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.21073913574219,129915600,AAPL
2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,39.29271697998047,188923200,AAPL
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,37.58779525756836,346375200,AAPL
2018-02-03,,,,,,,AAPL
2018-02-04,,,,,,,AAPL
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,36.648685455322266,290954000,AAPL
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.180301666259766,272975200,AAPL
2018-02-07,40.772499084472656,40.849998474121094,39.76750183105469,39.8849983215332,37.36295700073242,206434400,AAPL
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.787498474121094,36.334861755371094,217562000,AAPL
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,36.779296875,282690400,AAPL
2018-02-10,,,,,,,AAPL
2018-02-11,,,,,,,AAPL
2018-02-12,39.625,40.97249984741211,39.377498626708984,40.6775016784668,38.26072692871094,243278000,AAPL
2018-02-13,40.48749923706055,41.1875,40.412498474121094,41.084999084472656,38.64400863647461,130196800,AAPL
2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.842498779296875,39.35650634765625,162579600,AAPL
2018-02-15,42.4474983215332,43.272499084472656,42.25,43.247501373291016,40.67802810668945,204588800,AAPL
2018-02-16,43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,40.54633712768555,160704400,AAPL
2018-02-17,,,,,,,AAPL
2018-02-18,,,,,,,AAPL
2018-02-19,,,,,,,AAPL
2018-02-20,43.01250076293945,43.564998626708984,42.85499954223633,42.962501525878906,40.40996170043945,135722000,AAPL
2018-02-21,43.20750045776367,43.529998779296875,42.752498626708984,42.76750183105469,40.22654342651367,149886400,AAPL
2018-02-22,42.95000076293945,43.48749923706055,42.9275016784668,43.125,40.56279754638672,123967600,AAPL
2018-02-23,43.41749954223633,43.912498474121094,43.3849983215332,43.875,41.26824188232422,135249600,AAPL
2018-02-24,,,,,,,AAPL
2018-02-25,,,,,,,AAPL
2018-02-26,44.087501525878906,44.84749984741211,44.0525016784668,44.74250030517578,42.084197998046875,152648800,AAPL
2018-02-27,44.775001525878906,45.119998931884766,44.540000915527344,44.59749984741211,41.94780731201172,155712400,AAPL
2018-02-28,44.814998626708984,45.154998779296875,44.51250076293945,44.529998779296875,41.88432312011719,151128400,AAPL
2018-03-01,44.6349983215332,44.94499969482422,43.165000915527344,43.75,41.150665283203125,195208000,AAPL
